"Index";"cpit";"coret";"deflt";"rev_pci";"rev_pci_fe";"rev_defl";"rev_pce";"rev_pce_fe"
1947 Q1;NA;NA;NA;NA;NA;NA;NA;NA
1947 Q2;NA;NA;NA;NA;NA;NA;NA;NA
1947 Q3;NA;NA;NA;NA;NA;NA;NA;NA
1947 Q4;NA;NA;NA;NA;NA;NA;NA;NA
1948 Q1;NA;NA;NA;6.81818;NA;6.46984;NA;NA
1948 Q2;NA;NA;NA;9.375;NA;5.90035;NA;NA
1948 Q3;NA;NA;NA;6.65499;NA;6.09709;NA;NA
1948 Q4;NA;NA;NA;2.73387;NA;3.86412;NA;NA
1949 Q1;NA;NA;NA;1.74468;NA;2.52635;NA;NA
1949 Q2;NA;NA;NA;-0.95238;NA;0.60754;NA;NA
1949 Q3;NA;NA;NA;-2.50411;NA;-1.73129;NA;NA
1949 Q4;NA;NA;NA;-1.82952;NA;-1.96533;NA;NA
1950 Q1;NA;NA;NA;-1.12923;NA;-1.65488;NA;NA
1950 Q2;NA;NA;NA;-0.16722;NA;-0.30194;NA;NA
1950 Q3;NA;NA;NA;2.48421;NA;2.391;NA;NA
1950 Q4;NA;NA;NA;5.80263;NA;4.2314;NA;NA
1951 Q1;NA;NA;NA;9.47547;NA;8.19867;NA;NA
1951 Q2;NA;NA;NA;8.58459;NA;8.52415;NA;NA
1951 Q3;NA;NA;NA;6.9433;NA;6.28253;NA;NA
1951 Q4;NA;NA;NA;5.96477;NA;5.52874;NA;NA
1952 Q1;NA;NA;NA;1.97063;NA;1.82927;NA;NA
1952 Q2;NA;NA;NA;2.31392;NA;1.29322;NA;NA
1952 Q3;NA;NA;NA;2.30503;NA;2.36038;NA;NA
1952 Q4;NA;NA;NA;0.90669;NA;1.49304;NA;NA
1953 Q1;NA;NA;NA;0.90944;NA;1.56765;NA;NA
1953 Q2;NA;NA;NA;0.90464;NA;1.63285;NA;NA
1953 Q3;NA;NA;NA;0.97634;NA;0.93036;NA;NA
1953 Q4;NA;NA;NA;0.59903;NA;0.84819;NA;NA
1954 Q1;NA;NA;NA;1.12655;NA;1.12613;NA;NA
1954 Q2;NA;NA;NA;0.63504;NA;1.0314;NA;NA
1954 Q3;NA;NA;NA;-0.29751;NA;0.73742;NA;NA
